name,zip,lon,lat,type
Franconia Rec Center,22310,11879992.09225,6967892.62975,Community Center
Spring Hill Rec Center,22102,11844517.581,7028755.697,Community Center
Audrey Moore Rec Center,22003,11846479.23,6983038.447,Community Center
Gum Springs Community Center,22306,11886750.624,6955055.42900001,Community Center
Huntington Community Center,22303,11890935.368,6975566.654,Community Center
Mott Community Center,22030,11806572.032,6986965.80500001,Community Center
David R Pinn Community Center,22032,11825074.35325,6979073.4065,Community Center
James Lee Community Center,22042,11860648.1015,7004090.3565,Community Center
Minnie H Peyton Senior Center At Bailey'S,22041,11871242.953,6992745.765,Community Center
Lewinsville Senior Center,22101,11854270.27175,7023181.80500001,Community Center
Lincolnia Senior Center,22312,11869349.41325,6984945.32325,Community Center
Little River Glen Senior Center,22032,11834361.28375,6991010.229,Community Center
Herndon Senior Center,20170,11798727.88575,7039637.81200001,Community Center
South County Senior Center,22309,11881713.2385,6952428.8335,Community Center
Lorton Senior Center,22079,11851586.594,6942517.98,Community Center
Sully Senior Center,20171,11789390.31825,7019262.74824999,Community Center
George Washington Rec Center,22309,11882834.42,6951517.017,Community Center
Hollin Hall Senior Center,22308,11894058.682,6956649.252,Community Center
Minnie H Peyton Community Center At Bailey'S,22041,11871244.725,6992745.01000001,Community Center
Burgundy Village Community Center,22303,11883971.003,6977692.78,Community Center
Wakefield Senior Center,22003,11846517.088,6982952.37275,Community Center
James Lee Senior Center,22041,11860495.8605,7004103.87575001,Community Center
Cub Run Rec Center,20151,11776518.81775,7008871.11650001,Community Center
Mount Vernon Rec Center,22307,11892540.5515,6968292.664,Community Center
Oakmont Rec Center,22124,11820512.07675,7003999.55675,Community Center
Providence Rec Center,22042,11849990.25175,6999303.72499999,Community Center
South Run Rec Center,22153,11832347.00975,6957704.58675,Community Center
Sacramento Neighborhood Center,22309,11874732.73575,6948595.60250001,Community Center
Cathy Hudgins Community Center At Southgate,20191,11805548.30325,7028002.75675,Community Center
Willston Multicultural Center,22044,11867626.0655,7002842.42174999,Community Center
Kingstowne Center For Active Adults,22315,11863795.4995,6955322.74150001,Community Center
Pimmit Hills Senior Center,22043,11851381.03325,7019449.20175,Community Center
Mott Teen Center,22030,11806572.032,6986965.80500001,Community Center
Teen Center At Irving Middle School,22512,11846407.09625,6970275.04175,Community Center
South County Teen Center,22309,11881741.9205,6952450.78874999,Community Center
Reston Teen Center,20190,11804879.40825,7033145.55475,Community Center
James Lee Teen Center,22042,11860742.317,7004093.3255,Community Center
Teen Center At Glasgow Middle School,22312,11870166.827,6991034.97525001,Community Center
Teen Center At South County Middle School,22079,11840783.8015,6948262.33050001,Community Center
Teen Center At Key Middle School,22150,11864651.587,6969799.567,Community Center
Teen Center At Herndon Middle School,20170,11797993.55975,7037546.11925,Community Center
Teen Center At Graham Road Community Building,22042,11854350.116,7001648.509,Community Center
Jim Scott Community Center,22031,11832449.0195,7003396.98774999,Community Center
Jim Scott Senior Center,22031,11832383.04725,7003366.60475001,Community Center
Wedgewood Community Center,22003,11850577.733,6987615.75300001,Community Center
Barros Circle Community Center,20120,11781697.15475,6989503.26025,Community Center
Cedar Ridge Neighborhood Center,20190,11815958.9475,7037135.64725,Community Center
Crescent Neighborhood Center,20190,11813426.975,7038520.00624999,Community Center
